awards_name_norm,core_match_norm,match_probability
brian butch,brian shaw,66.67
liangelo ball,lamelo ball,83.33
marcus bingham jr,marcus garrett,64.52
marqus blakely,marques bolden,71.43
trevon bluiett,tyrone britt,69.23
brandon boston jr,brandon boston,90.32
chaundee brown,chaundee brown jr,90.32
reggie bullock,reggie bullock jr,90.32
gabe brown,kobe brown,80.0
anthony duruji,anthony davis,74.07
tony gaffney,tony bradley,66.67
"bear, the body hoffman",paul the bear hoffman,69.77
caleb homesley,caleb houstan,66.67
herbert hill,george hill,69.57
curtis jerrells,curtis perry,74.07
matthew hurt,matt hurt,85.71
drake jeffries,jared jeffries,78.57
david johnson,dave johnson,88.0
ken johnson,keon johnson,95.65
justin lewis,martin lewis,75.0
makur maker,mark baker,76.19
kenyon martin jr,kenyon martin,89.66
"ted, hound dog mcclain",ted hound dog mcclain,97.67
isaiah miller,isaiah rider,80.0
rj nembhard jr,ruben nembhard jr,83.87
tarik phillip,gary phillips,76.92
nate pierre louis,nate driggers,60.0
daeqwon plowden,leon powe,66.67
diamon simpson,diamond stone,74.07
sun sun,sun yue,71.43
jack turner,john turner,72.73
magnum rolle,manute bol,63.64
dj stewart,dennis stewart,75.0
luca vildoza,luka garza,54.55
jaylen sims,jaylen adams,78.26
robert vaden,robert sacre,75.0
kenny wooten,kenny green,69.57
chris johnson,charlie johnson,85.71
marcus williams,mark williams,85.71
brandon williams,ron williams,85.71
bob duffy,bob cousy,66.67
mark jones,major jones,85.71
chris wright,chris mihm,72.73
tony mitchell,todd mitchell,84.62
bill smith,willie smith,81.82
mark davis,mike davis,80.0
chris smith,chris mihm,85.71
michael smith,mike smith,78.26
cedric henderson,eric anderson,82.76
george king,georges niang,83.33
